0	"Perfect"	Open Input/other anomaly	RS Anomaly	Ic Anomaly	Could not screen. Needs re-mount / re-screen	PCB	LOC	Note	More notes	
....................						20190828_B	B08 gel-pak "BICEP w37 IMPERFECT ARCHIVE"	FB coil open - unusable		
0	x					20190617_A	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r00_c04	x					20190617_A	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r00_c05	x					20190617_A	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r00_c06			10			20190617_A	B08 gel-pak "BICEP w31 IMPERFECT ARCHIVE"	excess noise on RS10, but the v-Phi at Ic,max actually looks fine.		
w31_r01_c02	x					20190617_A	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r01_c03	x					20190617_A	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r01_c04	x					20190617_A	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r01_c05	x					20190617_A	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r01_c06	x					20190617_D	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r01_c07	x					20190617_D	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r02_c02	x					20190617_D	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r02_c03	12					20190617_D	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r02_c04	x					20190617_D	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r02_c05	x					20190617_D	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r02_c06	x					20190617_D	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r02_c07	x					20190617_D	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r03_c02				7		20190617_D	B08 gel-pak "BICEP w31 IMPERFECT ARCHIVE"	funky, non-sinusoidal v-phi		
w31_r03_c03	x					20190617_D	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r03_c04				00, 05		20190617_D	B08 gel-pak "BICEP w31 IMPERFECT ARCHIVE"	slightly out of range ic,min/ic,max. probably fine for use.		
w31_r03_c05				8		20190617_D	B08 gel-pak "BICEP w31 IMPERFECT ARCHIVE"	funky, non-sinusoidal v-phi		
w31_r03_c06	x					20190617_D	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r03_c07	x					20190617_D	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
